"","plot","x","y","block_BS.mod","TOTAL_cm","AHOR_cm","REDOX_cm"
"421",421,25,7,"F",41.5,17.5,13.5
"422",422,25,8,"F",41,17.5,12
"423",423,25,9,"F",40.5,24.5,34.5
"424",424,25,10,"F",41,21.5,29
"425",425,25,11,"F",40.5,23,26
"426",426,25,12,"F",43,26,17
"427",427,25,13,"F",40.5,19.5,1
"428",428,25,14,"F",40,20.5,29
"429",429,25,15,"F",41.5,27,23
"430",430,26,7,"F",40.5,14,9
"431",431,26,8,"F",41,17.5,13.5
"432",432,26,9,"",39,10,17
"433",433,26,10,"F",26,21.5,NA
"434",434,26,11,"F",33.5,15,12
"435",435,26,12,"F",40,13,22
"436",436,26,13,"F",39,16.5,13
"437",437,26,14,"F",42.5,21,22
